Product ID,Product Name,Cat Website,Price,Price/Kg,Promotion,Innovation,Link,Image
256074859,Beechams 160Ml All-In-One,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.00,£3.13/100ml,£4.25 Clubcard Price,,/groceries/en-GB/products/256074859,https://digitalcontent.api.tesco.com/v2/media/ghs/23358415-75c4-4c92-b9f9-eee7f19a8c09/78ecf5b6-092f-4b2e-ac1d-6abf067627ce_872907189.jpeg?h=225&w=225
253716267,Andrews Salts 150G,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.00,£3.34/100g,,,/groceries/en-GB/products/253716267,https://digitalcontent.api.tesco.com/v2/media/ghs/f285552e-142c-4fb8-94f6-b039518c2c7c/0e224133-a5ca-47a5-b607-1c67167be3fd_1926768543.jpeg?h=225&w=225
255211728,Beconase Allergy 100Dose,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£6.50,£6.50/each,,,/groceries/en-GB/products/255211728,https://digitalcontent.api.tesco.com/v2/media/ghs/2dd2cdff-57b3-4093-aea5-e4afce053992/e4d69072-6f01-420a-8c5e-4957419f9ff6_277090881.jpeg?h=225&w=225
255351504,Anusol Cream 23G,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.30,£18.70/100g,,,/groceries/en-GB/products/255351504,https://digitalcontent.api.tesco.com/v2/media/ghs/a7006bd6-fac4-41d9-b048-910c6bc70b22/a0b58b73-a63e-4bea-b0b1-0c55caa25e85_902898226.jpeg?h=225&w=225
303805593,Vicks Sinex Micromist Pump 15Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.00,£26.67/100ml,,,/groceries/en-GB/products/303805593,https://digitalcontent.api.tesco.com/v2/media/ghs/eec44147-0545-42ac-8b0d-aae31de5504e/665d5b2d-14d8-46bd-a2f4-73eea69a5896_1579874329.jpeg?h=225&w=225
301340125,Benylin Mucus Max 150Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.60,£3.07/100ml,£4.10 Clubcard Price,,/groceries/en-GB/products/301340125,https://digitalcontent.api.tesco.com/v2/media/ghs/9a65b5e1-8bb5-46a6-a69d-7097f04b55e9/4b31cb3c-c3c5-4d84-aae2-dfc504bac89f_592005149.jpeg?h=225&w=225
297764712,Benylin Dry & Tickly Cough Syrup 150Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.75,£3.17/100ml,£4.25 Clubcard Price,,/groceries/en-GB/products/297764712,https://digitalcontent.api.tesco.com/v2/media/ghs/8f37d0a5-c893-4c03-b162-a5316b6dc051/03348c30-8b4c-4fbf-b754-18a3de061349_1346525833.jpeg?h=225&w=225
262315751,Vicks Sinex Soother Pump 15Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£3.50,£23.34/100ml,,,/groceries/en-GB/products/262315751,https://digitalcontent.api.tesco.com/v2/media/ghs/45760aaa-5307-4cce-8302-a12156101928/11df7838-561c-4bbc-a98d-cc966c1e6c05_829474055.jpeg?h=225&w=225
287853046,Otex Olive Oil Ear Drops 10Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.00,£40.00/100ml,£3.20 Clubcard Price,,/groceries/en-GB/products/287853046,https://digitalcontent.api.tesco.com/v2/media/ghs/3ebf0be5-ae83-4972-9446-d7ee713da21c/cdb92869-6441-4b8f-b6a6-f43f159faa49_21829774.jpeg?h=225&w=225
271331873,Sudafed Mucus Relief Tablets 16S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.00,£0.25/each,,,/groceries/en-GB/products/271331873,https://digitalcontent.api.tesco.com/v2/media/ghs/af8f63f1-7916-4078-b1b4-52b3df253979/39a586b3-f768-456d-97ff-40b731ff14b9_1983677770.jpeg?h=225&w=225
